place_id,Restaurant Name,Website,Address,Phone,blacklist flag
ChIJtWgUBTFz6IgR78Mlb2_UJuk,Stumpknockers Restaurants,,"110 W Main St, Inverness, FL 34450, USA",(352) 726-2212,
ChIJkVBAcABz6IgRtlm1WfLFzr8,La Pergola,http://lapergolainverness.com/,"108 W Main St, Inverness, FL 34450, USA",(352) 503-2332,
ChIJba94mBpz6IgRaBV-7nrBczc,Salty Dogs Steamer and Bar,http://saltydogssteamerandbar.com/,"107 Courthouse Square, Inverness, FL 34450, USA",(352) 419-4673,
ChIJD-L-crQM6IgRzgC0UOAfAK8,Cedar River Seafood,http://cedarriverseafood.com/,"804 US Hwy 41 S, Inverness, FL 34450, USA",(352) 341-2278,
ChIJddnjIkNz6IgR1KvPtttShuM,Oscar Penns Restaurant,http://oscarpenns.com/,"207 N Apopka Ave, Inverness, FL 34450, USA",(352) 419-6354,
ChIJkem66qR06IgRN8BmTIkG-yQ,The Cove Resort and Pub,http://www.thecovepubandgrub.com/,"1242 S Cove Camp Point, Inverness, FL 34450, USA",(352) 344-5894,
ChIJZfXOeQBt6IgROm0YG8BMTQQ,Garden Bar,,"2235 E Gulf to Lake Hwy, Inverness, FL 34453, USA",(352) 344-1752,
ChIJA-aZBjFz6IgRlYzYxB8P-uQ,Coach's Pub & Eatery,http://www.coachspubeatery.com/,"114 W Main St, Inverness, FL 34450, USA",(352) 344-3333,
ChIJMeIytW516IgRYvhcgTGsTow,Fisherman's Restaurant,http://www.fishermansflorida.com/,"12311 E Gulf to Lake Hwy, Inverness, FL 34450, USA",(352) 637-5888,
ChIJ8SZam_Vz6IgReBoQz8DO460,SideBar Tavern,http://www.sidebarcitrus.com/,"203 Courthouse Square, Inverness, FL 34450, USA",(352) 419-7909,
ChIJu9QvYQBz6IgRv3vJsGzDHUc,Joes Family Restaurant,https://joesinverness.com/,"1754 US-41, Inverness, FL 34450, USA",(352) 419-4807,
ChIJW5AgQ5xz6IgRl6niX5RiGaU,Mama's Kuntry Kafe,https://www.facebook.com/profile.php?id=100057435011097&mibextid=LQQJ4d,"104 US Hwy 41 S, Inverness, FL 34452, USA",(352) 341-6262,
ChIJxzj5_TBz6IgRgY0CH5sxoEg,Pine Street Pub,http://www.pinestreetpub.com/,"108 N Pine Ave, Inverness, FL 34450, USA",(352) 341-0100,
ChIJ-70IJwBt6IgReHcoNMlwZaQ,Libby's BBQ,,"2235 E Gulf to Lake Hwy, Inverness, FL 34453, USA",(352) 344-1752,
ChIJR_zl55lz6IgRN4qLmYi1rOA,Breakfast Station,https://www.breakfaststationcentral.com/,"351 E Highland Blvd, Inverness, FL 34452, USA",(352) 419-4049,
ChIJgyfzEjFz6IgRfaS-YHmReis,Twysted Vyne,https://www.twysted-vyne.com/,"103 W Main St, Inverness, FL 34450, USA",(352) 419-4132,
ChIJL_1YdZtz6IgR9TGzUfE0kYc,The Train Station,http://trainstation-inverness.com/,"218 N Apopka Ave, Inverness, FL 34450, USA",(352) 464-3967,
ChIJE-4tRABt6IgRNar38fl_jXE,Pasta Americana,,"2235 E Gulf to Lake Hwy, Inverness, FL 34453, USA",(352) 344-1752,
ChIJs-K3VjBz6IgRmPNWdrrr4rM,Hen House Cafe,https://thehenhousecafe.com/,"206 Tompkins St, Inverness, FL 34450, USA",(352) 419-7942,
ChIJ2XbFhtlz6IgRGh1V6f3h6nI,Chili's Grill & Bar,https://www.chilis.com/locations?utm_source=google&utm_medium=local&utm_campaign=Chilis,"800 W Main St, Inverness, FL 34450, USA",(352) 565-5571,
ChIJa2vpGH8L6IgReERp8K5gIXI,The Diner,,"5490 S Florida Ave, Inverness, FL 34450, USA",(352) 419-7018,
ChIJVwFan65t6IgRadEPO8vBj6Y,Tiki Bar at Citrus Hills,http://www.citrushillsgolfandcountryclub.com/,"505 E Hartford St, Hernando, FL 34442, USA",(352) 746-6855,
ChIJvZbJWwBt6IgRX1_-Sa6XwDs,Tequila Garden Flavors Of Mexico,http://tequilagardenmx.com/,"2605 E Gulf to Lake Hwy, Inverness, FL 34453, USA",(352) 419-5932,
ChIJSbUfHGdz6IgRtM4BFvgy6jQ,Nine State Brewery,http://ninestatebrewery.com/,"200 Tompkins St, Inverness, FL 34450, USA",(352) 419-4067,
ChIJmep5bF5w6IgRmUYWw9FVxB4,Stumpknockers Restaurant,https://zmenu.com/stumpknockers-on-the-river-dunnellon-online-menu/,"13821 SW State Rd 200, Dunnellon, FL 34432, USA",(352) 854-2288,
ChIJRf3uIIVv6IgRt01EcE89gcA,Niko's Neighborhood Bar,https://nikosneighborhoodbar.com/?utm_source=gmb$utm_medium=organic,"5210 N Florida Ave, Hernando, FL 34442, USA",(352) 897-3510,
ChIJ-etxEGIN6IgRripUeci2Jb4,Central Cafe & Bakery,https://www.centralcafebakery.com/,"727 US Hwy 41 S, Inverness, FL 34452, USA",(352) 419-4911,
ChIJAUXbgtFy6IgR4-mOe7BHn8w,Applebee's Grill + Bar,https://restaurants.applebees.com/en-us/fl/inverness/1901-w.-main-street-95018?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=95018&utm_content=website,"1901 W Main St, Inverness, FL 34452, USA",(352) 560-0300,
ChIJD6_lwS5z6IgRlZWEbFBMEaY,Sonny's BBQ,https://www.sonnysbbq.com/locations/inverness/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=Inverness,"750 W Main St, Inverness, FL 34450, USA",(352) 341-2686,
ChIJVwplyOhl6IgR5waEurTp9lc,Front Porch Restaurant,https://frontporchrestaurant.shop/,"12039 N Florida Ave, Dunnellon, FL 34434, USA",(352) 489-4708,
ChIJFSnDG89y6IgRUqRkyLuHi-k,Outback Steakhouse,https://locations.outback.com/florida/inverness/2225-highway-44-west?utm_source=gmb&utm_medium=local_search&utm_campaign=website_cta&y_source=1_MTU1MDIwMTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"2225 Hwy 44 W, Inverness, FL 34453, USA",(352) 637-9292,
ChIJ4-yPsM9y6IgRj2yW8RH2nxU,Ruby Tuesday,https://rubytuesday.com/,"2235 E Gulf to Lake Hwy, Inverness, FL 34453, USA",(352) 344-1752,
ChIJd82M_s0L6IgRWJ1usY67YL8,Pudgee's Eatery and Market,https://pudgeeseatery.com/?utm_source=google,"8435 E Rosko Ct, Floral City, FL 34436, USA",(352) 344-3773,
ChIJOe7JWbBB6IgRwnaEkGHBbYo,Vintage On 5th,https://www.vintageon5th.com/,"114 NE 5th St, Crystal River, FL 34429, USA",(352) 794-0004,
ChIJrU6Q37hy6IgRFXRIY8gEpmo,Philippine Cuisine,https://www.facebook.com/pages/Philippine-Cuisine/244715710201,"3786 E Gulf to Lake Hwy, Inverness, FL 34453, USA",(352) 344-5212,
ChIJvUrArbtz6IgR9xlVuQUaLkg,Culver’s,http://www.culvers.com/restaurants/inverness-fl-main-st/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,"1781 W Main St, Inverness, FL 34450, USA",(352) 419-4018,
ChIJUSP1dydz6IgRAC3IlpBlcN4,Papa J's Diner,https://www.facebook.com/profile.php?id=100087808024334,"2056 Hwy 44 W, Inverness, FL 34453, USA",(352) 341-5169,
ChIJtbITBwML6IgRTYjmWyYGA2w,Sleepy Hollow Fish Camp,https://www.facebook.com/profile.php?id=100063668587496,"10333 E Gobbler Dr, Floral City, FL 34436, USA",(352) 247-2446,
ChIJMcncsFtr6IgRwEozFZ-CwMs,Katch Twenty-Two,http://www.katchtwentytwo.com/,"2924 W Gulf to Lake Hwy, Lecanto, FL 34461, USA",(352) 746-6691,
ChIJxSAyLc5y6IgRhJZP3Otsh-M,Olive Garden Italian Restaurant,https://www.olivegarden.com/locations/fl/inverness/inverness/1854?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:inverness-fl-1854_pl:locurl_rd:1698,"2151 E Gulf to Lake Hwy, Inverness, FL 34453, USA",(352) 344-0943,
ChIJFWwfYbQM6IgRwv9Wf6x9AY0,Los Compadres Mexican Grill,http://loscompadresinverness.com/,"724 US Hwy 41 S, Inverness, FL 34450, USA",(352) 765-3097,
ChIJa7UHUMZz6IgRYjRt6uwDeXM,La Pérgola (Italian - Argentinian Ristorante),http://lapergolamenu.com/,"2780 N Florida Ave, Hernando, FL 34442, USA",(352) 503-2242,
ChIJv3uyPo0L6IgRsqktOc1FilM,Robins Country Kitchen,,"6689 S Florida Ave, Floral City, FL 34436, USA",(352) 341-2535,
ChIJCV-fTuVB6IgRFf77GSidPSU,Bayside Kraft Kitchen,https://baysidecr.com/,"224 NW US-19, Crystal River, FL 34428, USA",(352) 228-4319,
ChIJlaxbnYtt6IgRPYjFWE3k2SI,Sauced Hogs,https://www.facebook.com/sauced.hogs,"2408 N Fatima Ave, Hernando, FL 34442, USA",(352) 419-8990,
ChIJUwBcLCBz6IgRy4IOU-pNs6o,Noodle World Restaurant,https://www.facebook.com/profile.php?id=100089133968639,"1546 US-41, Inverness, FL 34450, USA",(352) 419-4426,
ChIJQ3czUDBz6IgRXUZ_Ehkgq70,Cattle Dog Coffee Roasters,http://cattledogcoffeeroasters.net/,"210B Tompkins St, Inverness, FL 34450, USA",(352) 726-7060,
ChIJ7wfRVNFy6IgRNAVDrFgVhvs,Angelotti's Pizza,https://www.angelottispizzamenu.com/,"138 Heights Ave, Inverness, FL 34452, USA",(352) 419-6550,
ChIJC_8KAx5z6IgR0aIiHw2X_pA,Lin Garden II,https://www.lingarden2.com/,"238 US Hwy 41 S, Inverness, FL 34450, USA",(352) 726-5899,
ChIJ8UUfWE0N6IgRpSPkUT49fDQ,Heidi's Souper Salads,,"1111 E Inverness Blvd, Inverness, FL 34452, USA",(352) 419-4033,
ChIJJWsKMA9t6IgRnuCrskxp6Ik,MrBeast Burger,https://www.mrbeastburger.com/?utm_source=Yext&utm_medium=Yext&utm_campaign=1051112486,"2235 E Gulf to Lake Hwy, Inverness, FL 34453, USA",(877) 232-7898,
ChIJeXq_pBI_6IgRXReBbUYIUVc,Wallace's at the Greenhouse,http://www.wallacesgreenhouse.com/,"2420 S Suncoast Blvd, Homosassa, FL 34448, USA",(352) 503-7276,
ChIJxWqkknls6IgRROfiU7QUwlU,World Fusion,http://www.worldfusionsushi.com/,"1988 N Future Terrace, Lecanto, FL 34461, USA",(352) 513-3800,
ChIJA_4i-Bdz6IgRqmS50tirwZY,EBODS,https://iloveebods.com/,"411 N Apopka Ave, Inverness, FL 34451, USA",(352) 201-6264,
ChIJsYM1QsAL6IgRdlG3ILoZPek,Lollygaggers Sports Pub & Grill - FC,http://www.lollygaggersflorida.com/,"8370 S Florida Ave, Floral City, FL 34436, USA",(352) 503-6060,
ChIJmfMGf2YN6IgROi357eGuYDo,Neighborhood Pizza,,"4441 S Pleasant Grove Rd, Inverness, FL 34452, USA",(352) 423-1234,
ChIJgZsbGqRz6IgR_QRxxP_sGR8,Kawa Sushi House,https://www.kawasushihousefl.com/,"109 Courthouse Square, Inverness, FL 34450, USA",(352) 765-3337,
ChIJE_3TO6dB6IgRjI7E4qYkwkQ,Grannie's Country Cookin’ Restaurant,https://www.facebook.com/profile.php?id=61557034783765&mibextid=ZbWKwL,"1712 SE US Hwy 19, Crystal River, FL 34429, USA",(352) 795-8884,
ChIJa0ATUzZz6IgRK47eoNE76OY,Sweet Alps Ice Cream Inverness,https://sweetalpsicecream.com/,"202 Tompkins St, Inverness, FL 34450, USA",(352) 423-1112,
ChIJC5-b9E5B6IgRXYgrO4n8LxU,Cedar River Seafood Crystal River,http://www.cedarriverseafood.com/,"1935 SE US Hwy 19, Crystal River, FL 34429, USA",(352) 794-3379,
ChIJCbjLeXBB6IgRr6R5UKcT0Xk,Waterfront Social,http://www.waterfrontsocialcr.com/,"1610 SE Paradise Cir, Crystal River, FL 34429, USA",(352) 795-3113,
ChIJWanWeQBB6IgRCrXKHdwmRzU,Tipsy Tarpon,https://www.facebook.com/people/Tipsy-Tarpon/61556545312637/,"513 NW 2nd Ave, Crystal River, FL 34428, USA",(352) 795-2468,
ChIJ9RE2a69B6IgRmdCBZk8JiQw,"Cracker's Bar, Grill and Tiki",https://crackersbarandgrill.com/menu,"502 NW 6th St, Crystal River, FL 34428, USA",(352) 795-3999,
ChIJEf2SV3ZB6IgRI0gV4QWVsb8,Bayside Seafood Grille,,"16 NE 5th St Suite B, Crystal River, FL 34429, USA",(352) 794-3898,
ChIJR0vieaRC6IgR8omxFYGJjJs,The Loft Bar & Grill,https://www.facebook.com/The-Loft-Bar-Grill-841967039259136/,"10131 N Citrus Ave, Crystal River, FL 34428, USA",(352) 564-4100,
ChIJTdi9T0JH6IgRIWAUMlvjfWc,Peck's Old Port Cove,http://pecksoldportcove.com/,"139 N Ozello Trail, Crystal River, FL 34429, USA",(352) 795-2806,
ChIJF7aZLwBB6IgR30sOS8n8Nrs,Sketti Shop,,"318 SE 1st Terrace, Crystal River, FL 34429, USA",(352) 651-5107,
ChIJ3zyYSq5B6IgRgZWhoy-1l08,The Crab Plant,https://www.crabplant.com/,"201 NW 5th St, Crystal River, FL 34428, USA",(352) 795-4700,
ChIJHarvaYJE6IgR3nBlCJ9tbrY,Cody's Original Roadhouse - Crystal River,https://www.codysoriginalroadhouse.com/crystalriver,"305 SE US Hwy 19, Crystal River, FL 34429, USA",(352) 795-7223,
ChIJWZlrb3xB6IgRJ-ZoK0FPvUg,Kane's Cattle Co.,https://www.facebook.com/share/1DYb3W35Rk/?mibextid=wwXIfr,"508 N Citrus Ave, Crystal River, FL 34428, USA",(352) 794-6721,
ChIJcU_L5B5B6IgREarmPLrsqmA,The Tiki at Paddletail,https://thetikicr.com/,"614 NW US-19, Crystal River, FL 34428, USA",(352) 228-4532,
ChIJO2N-_lI_6IgR1HCTzvTcXh4,Crump's Landing,http://crumpslanding.com/,"11210 W Halls River Rd, Homosassa, FL 34448, USA",(352) 765-4942,
ChIJXW6mBsNB6IgR3nEj2qoBRfw,The Three Musketeers,https://www.crystalmanatee.com/restaurants.html,"310 N Citrus Ave Entrance on, NW 3rd St, Crystal River, FL 34428, USA",(352) 586-2450,
ChIJcfpYdq1B6IgRLHhod_Zqsds,St. Johns Tavern,https://www.facebook.com/StJohnsTavernCR/,"572 N Citrus Ave, Crystal River, FL 34428, USA",(352) 794-6367,
ChIJMUhi4v8-6IgRrVkmaiRIzVI,Seagrass Waterfront,https://www.seagrassresort.com/,"10386 W Halls River Rd, Homosassa, FL 34448, USA",(352) 503-2007,
ChIJSXTcQ7w46IgRC48Z6MW1VMY,Backwater Fins,http://backwaterfins.net/,"13982 W Ozello Trail, Crystal River, FL 34429, USA",(352) 794-6000,
ChIJd5WTHXpq6IgRb3Jr03tpziU,Dan's Clam Stand,https://www.dansclamstandcr.com/,"2315 N Sunshine Path, Crystal River, FL 34428, USA",(352) 795-9081,
ChIJrVtjT6BB6IgRQ-yCqRNIFNg,Cajun Jimmy's Seafood Seller & Cafe,https://www.seafoodsellerandcafe.net/,"300 SE US Hwy 19, Crystal River, FL 34429, USA",(352) 228-4936,
ChIJ2wRba5RB6IgRCLA6cx9bjrQ,The Salty Scallop Pub,,"2380 US-19, Crystal River, FL 34428, USA",(352) 228-4933,
ChIJA6ALV5tB6IgRxYFOj7wY9hA,BubbaQue's BBQ - Crystal River,http://bubbaquesbbq.com/,"631 N Citrus Ave C, Crystal River, FL 34428, USA",(352) 795-7227,
ChIJ8aekn7ZB6IgRAdNTHybLnrs,Copp Brewery & Winery,http://www.coppbrewery.com/,"7855 W Gulf to Lake Hwy, Crystal River, FL 34429, USA",(352) 228-8103,
ChIJHRpO3XRB6IgR5YtISIJwLZI,The Biscuit Barn,https://www.biscuitbarn.net/,"1960 US-19, Crystal River, FL 34428, USA",(352) 794-3385,
ChIJ525jzD5A6IgRhVlfHoTJZPY,Oysters of Crystal River,,"606 NE US Hwy 19, Crystal River, FL 34429, USA",(352) 795-2633,
ChIJCUHTpy1B6IgRtthMGfer-RE,Shrimp Landing Seafood,https://www.shrimplanding.com/,"12645 W Fort Island Trail, Crystal River, FL 34429, USA",(352) 795-4380,
ChIJJQt_NzNB6IgRI1eVtMan12Q,Kelly's Half Shell Pub,http://www.kellyshalfshell.com/,"390 N Suncoast Blvd, Crystal River, FL 34429, USA",(352) 228-8366,
ChIJj-imMwBB6IgROyIR5rTditY,Ricky's Tacos,https://rickystacosmenu.com/?m=gbp&utm_source=google&utm_medium=organic&utm_campaign=gbp,"630 NE 2nd Ave, Crystal River, FL 34428, USA",(352) 400-6467,
ChIJ9X1cP7BB6IgRK_6MLWOfVic,Amy's On The Avenue,https://www.amysontheave.com/menu,"539 N Citrus Ave, Crystal River, FL 34428, USA",(352) 563-2697,
ChIJe_wV-ehB6IgRGO6LMezuEXQ,Crystal River Smokehouse & Grill,https://crystalriverbbq.com/,"2581 US-19, Crystal River, FL 34428, USA",(352) 228-4159,
ChIJmx3KQzZA6IgRIusOWVKBMMI,La Casa Di Norma,https://lacasadinorma.net/,"1609 SE US Hwy 19, Crystal River, FL 34429, USA",(352) 795-4694,
ChIJgQ05RrBB6IgRwKDnrV9pDtA,Norton's Riverside Sports Bar and Grill,http://www.nortonsriverside.com/,"16 NE 5th St, Crystal River, FL 34429, USA",(352) 794-6105,
ChIJG6stP_Q_6IgRx0AtFNm1uOk,Breakfast Station,https://www.breakfaststationcentral.com/,"1676 SE US Hwy 19, Crystal River, FL 34429, USA",(352) 228-4077,
ChIJqUd_ttRr6IgRBHsABkTKzcs,Los Magueyes Crystal River,https://losmagueyesmexrest.com/losmagueyescrystalriver?utm_source=google,"6875 W Gulf to Lake Hwy, Crystal River, FL 34429, USA",(352) 228-8483,
ChIJPR8YmLVB6IgRYEzUaKKwEWU,Lollygaggers,http://www.lollygaggersflorida.com/,"618 SE US Hwy 19, Crystal River, FL 34429, USA",(352) 794-3888,
ChIJCbN63PE-6IgR6hl7J6N0YZc,Shed,http://www.macraesofhomosassa.com/index.html,"5300 S Cherokee Way, Homosassa, FL 34448, USA",(352) 628-2602,
ChIJ-aFaQ6o_6IgR3cy59LswgCE,Marguerita Grill,https://www.facebook.com/margueritagrillUSA/,"10200 W Halls River Rd, Homosassa, FL 34448, USA",(352) 628-1336,
ChIJr-PtCrBB6IgRQ17w0ygQ8XE,Tea House 650,https://teahouse650.com/,"650 N Citrus Ave, Crystal River, FL 34428, USA",(352) 564-1500,
ChIJGzxUna9B6IgR6I7EHOoLsPw,ANF Gyros and Grill,https://www.eatatanfgyros.com/,"16 NE US Hwy 19, Crystal River, FL 34429, USA",(352) 228-4633,
ChIJw0w2iL046IgRnSVwNNT4gyQ,Island Outpost,,"14231 W Ozello Trail, Crystal River, FL 34429, USA",(352) 795-1880,
ChIJuwLPiyhB6IgRDqcbiGTqmtA,Sadie's Corner Kitchen,https://m.facebook.com/SadiesCornerKitchen/,"353 NE 2nd St, Crystal River, FL 34429, USA",(352) 794-3857,
ChIJD3U5lhdB6IgREA_2CBsqXTo,KC Wine Bistro,https://www.kc-winebistro.com/,"564 N Citrus Ave, Crystal River, FL 34428, USA",(352) 450-0008,
ChIJz_I4LtlD6IgRRxkdLk-YdD4,Castaways Bar & Grill,https://www.facebook.com/Castaways-Bar-and-Grill-145119712200687,"5430 N Suncoast Blvd, Crystal River, FL 34428, USA",(352) 794-3476,
ChIJqVLdeVFB6IgRnceLLuzhR7c,Cappo's Italian Deli,,"911 SE US Hwy 19, Crystal River, FL 34429, USA",(352) 228-4168,
ChIJOUj3ZGRB6IgRzWuwwOEciak,The Meltdown,https://themeltdown.com/?utm_source=G&utm_medium=organic&utm_campaign=DAC,"2380 US-19, Crystal River, FL 34428, USA",(352) 563-1177,
ChIJ2UIAAy9B6IgRbyBmbKdHBcA,Darrell's Diner,,"959 N Suncoast Blvd, Crystal River, FL 34429, USA",(352) 228-8176,
ChIJfVTifL1B6IgRHQW17bazg3A,Coney Island Crystal River,https://www.famousfootlongs.com/,"674 NE 5th St, Crystal River, FL 34429, USA",(352) 228-8125,
ChIJORvNIU9A6IgRIFp2Sl0a6g0,Plantation Resort on Crystal River,https://www.plantationoncrystalriver.com/?utm_medium=organic&utm_source=google&utm_campaign=business-listing,"9301 W Fort Island Trail, Crystal River, FL 34429, USA",(352) 795-4211,
ChIJPxvmAPpq6IgRSo66TMwTbR8,Taverna Manos,http://tavernamanos.com/,"5705 W Gulf to Lake Hwy, Crystal River, FL 34429, USA",(352) 564-0078,
ChIJSXFp6DVA6IgRULAHmAhcT00,Clawdaddy's Bar & Grill,http://clawdaddysbarandgrill.com/,"1601 SE US Hwy 19, Crystal River, FL 34429, USA",(352) 564-0286,
ChIJmTO_MAA56IgROqG-OiGlHMk,The freezer,,"2130 S Waterman Dr, Crystal River, FL 34429, USA",,
ChIJZ5ujm6hB6IgRq1M0jMrgGAw,Beans and Greens Coffee House,http://www.crystalrivercoffeehouse.com/,"1927 US-19, Crystal River, FL 34428, USA",(352) 699-1917,
ChIJ_yoYmLVB6IgRnpkSaKEPXl4,Chili's Grill & Bar,https://www.chilis.com/locations/us/florida/crystal-river/crystal-river?utm_source=google&utm_medium=local&utm_campaign=Chilis,"140 N Suncoast Blvd, Crystal River, FL 34429, USA",(352) 563-2392,
ChIJPUQ3JD5A6IgRbw8p862FDII,Thai Phoon Restaurant,https://www.thaiphooncrystalriver.com/,"238 SE US Hwy 19, Crystal River, FL 34429, USA",(352) 795-1774,
ChIJQRLCaQBB6IgRDOylLaPq3vk,Darrells Diner,,"959 N Suncoast Blvd, Crystal River, FL 34429, USA",(352) 228-8176,
ChIJNTM9-yVr6IgRAUrcPoOFDgg,Texas Roadhouse,https://www.texasroadhouse.com/,"2130 N Lecanto Hwy, Lecanto, FL 34461, USA",(352) 632-2137,
ChIJ1ycD3q5r6IgRMJ76Yu89rbk,Glory Days Grill,https://www.glorydaysgrill.com/,"3148 W Norvell Bryant Hwy, Lecanto, FL 34461, USA",(352) 352-1314,
ChIJw1jmYPVq6IgRTx3JffP5oa8,Mertailor’s Mermaid Aquarium Encounter,https://www.mermaidaquariumencounter.com/,"4100 W Gulf to Lake Hwy, Lecanto, FL 34461, USA",(352) 513-3278,
ChIJ-ROU864V6IgRGJki_k2fKuE,Socos House of Eats,https://www.facebook.com/profile.php?id=100080048476465&mibextid=LQQJ4d,"7364 W Grover Cleveland Blvd, Homosassa, FL 34446, USA",(352) 419-4772,
ChIJ-4K39Xls6IgR8qDEz7afML8,Paige's Root Beer,https://paigesrootbeer.com/?utm_source=google,"2147 W Norvell Bryant Hwy, Lecanto, FL 34461, USA",(352) 746-3351,
ChIJGRXwD3Jt6IgRHgkmwKPbCHY,Papa Willies Bar and Grill,,"4105 N Lecanto Hwy, Beverly Hills, FL 34465, USA",(352) 746-1770,
ChIJx0X8Neht6IgRjM0Ru7tSVpA,Mariana's,https://www.thestinkyrose.com/,"2649 N Forest Ridge Blvd, Pine Ridge, FL 34465, USA",(352) 270-8432,
ChIJQ7cqUgRs6IgRGAh2B8LQC3Y,New England Pastry & Cafe,http://www.newenglandcafe.com/,"3896 N Lecanto Hwy, Beverly Hills, FL 34465, USA",(352) 527-3374,
ChIJCY0Gaqpv6IgRWV96A-as_kk,220 Barbecue - Beverly Hills,https://www.220bbq.com/,"4493 N Lecanto Hwy, Beverly Hills, FL 34465, USA",(352) 513-5665,
ChIJG8YnUxts6IgRy1TBMIqNvmE,Bangkok Thai,https://www.bangkokthai-beverlyhills-fl.com/,"4025 N Lecanto Hwy, Beverly Hills, FL 34465, USA",(352) 746-0443,
ChIJhwtjpAhs6IgR4zISZcU7ONY,Breakfast Station,https://www.breakfaststationcentral.com/,"3593 N Lecanto Hwy, Beverly Hills, FL 34465, USA",(352) 513-3845,
ChIJJ36mGkts6IgR27f6se_BqFE,Angelo's Pizzeria & Ristorante,https://www.angelosnypizza.com/,"2492 N Essex Ave, Hernando, FL 34442, USA",(352) 746-5026,
